Source_File,Primary_Source,Company,Bloomberg_Identifier,Currency,Mapped_Deal_IDs,Year,Revenue_m,Operating_Income_m,Net_Income_m,Total_Assets_m,Total_Debt_m,R_and_D_Expense_m,ROA_pct,Operating_Margin_pct,Leverage_pct
Celyad Oncology SA(4).xlsx,No,Celyad Oncology SA,CYAD BB,EUR,,2010,1.516,-8.7107,-6.7111,17.495,,4.9053,0.5338,-574.6009,
Celyad Oncology SA(4).xlsx,No,Celyad Oncology SA,CYAD BB,EUR,,2011,0.0,-10.4125,-9.3546,13.8129,,4.1357,0.3061,,
Celyad Oncology SA(4).xlsx,No,Celyad Oncology SA,CYAD BB,EUR,,2012,0.054,-11.0195,-13.5243,12.485,,3.4008,0.2694,-20406.4074,
Celyad Oncology SA(4).xlsx,No,Celyad Oncology SA,CYAD BB,EUR,,2013,0.0,-12.954,-14.489,32.386,,9.046,0.106,,
Celyad Oncology SA(4).xlsx,No,Celyad Oncology SA,CYAD BB,EUR,,2014,0.146,-16.437,-16.453,43.976,,15.865,0.413,-11258.2192,
Celyad Oncology SA(4).xlsx,No,Celyad Oncology SA,CYAD BB,EUR,,2015,0.003,-29.672,-29.114,159.525,,22.767,0.675,-989066.6667,
Celyad Oncology SA(4).xlsx,No,Celyad Oncology SA,CYAD BB,EUR,,2016,8.523,-25.609,-23.606,138.806,,27.675,1.478,-300.4693,
Celyad Oncology SA(4).xlsx,No,Celyad Oncology SA,CYAD BB,EUR,,2017,3.54,-19.314,-56.395,77.626,,22.908,1.444,-545.5932,
Celyad Oncology SA(4).xlsx,No,Celyad Oncology SA,CYAD BB,EUR,,2018,3.115,-38.17,-37.427,94.299,,23.577,1.646,-1225.3612,
Celyad Oncology SA(4).xlsx,No,Celyad Oncology SA,CYAD BB,EUR,,2019,0.006,-28.879,-28.632,89.836,,25.871,4.363,-481316.6667,
Celyad Oncology SA(4).xlsx,No,Celyad Oncology SA,CYAD BB,EUR,,2020,0.005,-16.987,-17.204,66.084,,21.894,3.638,-339740.0,
Celyad Oncology SA(4).xlsx,No,Celyad Oncology SA,CYAD BB,EUR,,2021,0.0,-26.39,-26.512,79.943,,20.773,2.632,,
Celyad Oncology SA(4).xlsx,No,Celyad Oncology SA,CYAD BB,EUR,,2022,0.0,-5.641,-40.935,19.716,,18.929,0.255,,
Celyad Oncology SA(4).xlsx,No,Celyad Oncology SA,CYAD BB,EUR,,2023,0.102,-8.425,-8.448,16.282,,4.602,1.058,-8259.8039,
Celyad Oncology SA(4).xlsx,No,Celyad Oncology SA,CYAD BB,EUR,,2024,0.186,-5.869,-5.824,9.928,,3.235,0.905,-3155.3763,
Celyad Oncology SA(4).xlsx,No,Celyad Oncology SA,CYAD BB,EUR,,2025,0.021,-1.524,0.83,4.298,,6.543,0.0,-7257.1429,
FA(1).xlsx,Yes,Zentiva Group AS,1193932D CP,EUR,"CTL-0055, CTL-0038",2010,53.7796,50.7853,82.522,550.5874,,,,94.4323,
FA(1).xlsx,Yes,Zentiva Group AS,1193932D CP,EUR,"CTL-0055, CTL-0038",2011,46.0918,30.5439,36.3982,530.8315,0.0605,,6.5519,66.2676,0.0114
FA(1).xlsx,Yes,Zentiva Group AS,1193932D CP,EUR,"CTL-0055, CTL-0038",2012,49.043,43.6119,61.2034,609.2556,0.8076,,10.6791,88.9259,0.1325
FA(1).xlsx,Yes,Zentiva Group AS,1193932D CP,EUR,"CTL-0055, CTL-0038",2013,48.6755,-3.7446,55.8141,606.604,0.4217,,9.0945,-7.6929,0.0695
FA(1).xlsx,Yes,Zentiva Group AS,1193932D CP,EUR,"CTL-0055, CTL-0038",2014,46.6053,-6.4969,4.9111,590.3866,0.1138,,0.8207,-13.9402,0.0193
FA(1).xlsx,Yes,Zentiva Group AS,1193932D CP,EUR,"CTL-0055, CTL-0038",2015,47.3759,-5.9066,7.3487,515.4891,,,1.3234,-12.4675,
FA(1).xlsx,Yes,Zentiva Group AS,1193932D CP,EUR,"CTL-0055, CTL-0038",2016,43.092,-6.7477,9.9192,530.3736,,,1.8976,-15.6588,
FA(1).xlsx,Yes,Zentiva Group AS,1193932D CP,EUR,"CTL-0055, CTL-0038",2017,44.2803,-8.793,11.4095,587.4154,,,2.0474,-19.8576,
FA_0exnoa1t(1).xlsx,Yes,Swedbank Robur Fonder AB,7527492Z SS,EUR,CTL-0186,2009,69.744,,15.2975,129.4513,,,,,
FA_0exnoa1t(1).xlsx,Yes,Swedbank Robur Fonder AB,7527492Z SS,EUR,CTL-0186,2010,123.2183,,38.8204,161.9857,,,,,
FA_0exnoa1t(1).xlsx,Yes,Swedbank Robur Fonder AB,7527492Z SS,EUR,CTL-0186,2011,148.1246,,47.2064,141.5448,,,,,
FA_0exnoa1t(1).xlsx,Yes,Swedbank Robur Fonder AB,7527492Z SS,EUR,CTL-0186,2012,167.2438,,67.8918,168.292,,,,,
